Here is a capture of the AUXCH data during the link standup.

This was made by bringing the AUXCH_IN signal to an I/O pin
and then capturing the stream with a Seleae Logic analyser.

It can be decoded with the Manchester protocol decoder, with
MSB first option, and a data rate of 1Mb/s.

Note that some of the replies (when all zeros) were not 
decoded by the logic analyser I was using - they do not have
timestamps

Time [s],Data
// Try to set EDID Address pointer
0.000019250000000,0x40
0.000027250000000,0x00
0.000035250000000,0x50
0.000043250000000,0x00
0.000051250000000,0x00
	(No reply from sink)
// Try to set EDID Address pointer
0.020086125000000,0x40
0.020094125000000,0x00
0.020102125000000,0x50
0.020110125000000,0x00
0.020118125000000,0x00
	(No reply from sink)

// Try to set EDID Address pointer
0.040153125000000,0x40
0.040161125000000,0x00
0.040169125000000,0x50
0.040177125000000,0x00
0.040185125000000,0x00
	???

// Try to set EDID Address pointer
0.040348125000000,0x40
0.040356125000000,0x00
0.040364125000000,0x50
0.040372125000000,0x00
0.040380125000000,0x00
	0x00

// Read block of EDID
0.040538625000000,0x50
0.040546625000000,0x00
0.040554625000000,0x50
0.040562625000000,0x0F

	0.040705750000000,0x00
	0.040713500000000,0x00
	0.040721125000000,0xFF
	0.040728875000000,0xFF
	0.040736625000000,0xFF
	0.040744250000000,0xFF
	0.040752000000000,0xFF
	0.040759750000000,0xFF
	0.040767375000000,0x00
	0.040775125000000,0x5A
	0.040782750000000,0x63
	0.040790500000000,0x2F
	0.040798250000000,0xCE
	0.040805875000000,0x01
	0.040813625000000,0x01
	0.040821375000000,0x01
	0.040829000000000,0x01

// Read block of EDID
0.040865750000000,0x50
0.040873750000000,0x00
0.040881750000000,0x50
0.040889750000000,0x0F
	0.041033250000000,0x00
	0.041040875000000,0x29
	0.041048625000000,0x18
	0.041056375000000,0x01
	0.041064000000000,0x04
	0.041071750000000,0xB5
	0.041079375000000,0x3E
	0.041087125000000,0x22
	0.041094875000000,0x78
	0.041102500000000,0x3A
	0.041110250000000,0x08
	0.041118000000000,0xA5
	0.041125625000000,0xA2
	0.041133375000000,0x57
	0.041141125000000,0x4F
	0.041148750000000,0xA2
	0.041156500000000,0x28

// Read block of EDID
0.041192750000000,0x50
0.041200750000000,0x00
0.041208750000000,0x50
0.041216750000000,0x0F
	0.041360625000000,0x00
	0.041368375000000,0x0F
	0.041376125000000,0x50
	0.041383750000000,0x54
	0.041391500000000,0xA5
	0.041399125000000,0x4B
	0.041406875000000,0x00
	0.041414625000000,0x71
	0.041422250000000,0x4F
	0.041430000000000,0x81
	0.041437750000000,0x00
	0.041445375000000,0x81
	0.041453125000000,0x80
	0.041460875000000,0xA9
	0.041468500000000,0x40
	0.041476250000000,0xB3
	0.041483875000000,0x00

// Read block of EDID
0.041520250000000,0x50
